K,gamma,rho_c,R,Mstar,rho_bar,ratio
8.91e13,1.3,10.0,7.845538693523648e10,2.1339551972378234e32,0.1054941511206158,94.79198508897984
8.91e13,1.3,25.0,5.739531360238711e10,2.038395089733107e32,0.25737742744608183,97.13361520499798
8.91e13,1.3,50.0,4.525078811647494e10,1.9689599518011777e32,0.5073058037330992,98.55988169673239
8.91e13,1.3,100.0,3.564404708763197e10,1.9018899803613198e32,1.0026185950719793,99.73882440592564
8.91e13,1.3,200.0,2.805627171830959e10,1.837104638673844e32,1.9858910002568344,100.71046194082862
8.91e13,1.3,400.0,2.207051928873099e10,1.774526115701882e32,3.9405435450990822,101.50883892591074
8.91e13,1.3,800.0,1.7353334238375935e10,1.714079243830364e32,7.830572079837084,102.16367231455766
1.5e14,1.3,10.0,1.0179574847468742e11,4.661284702411767e32,0.10549408276459367,94.79204651046304
1.5e14,1.3,25.0,7.44703195963138e10,4.452548892091595e32,0.2573774150298664,97.13361989084773
1.5e14,1.3,50.0,5.871281356037373e10,4.300878910138805e32,0.5073059175680665,98.55985958076543
1.5e14,1.3,100.0,4.624809198095907e10,4.154375257078682e32,1.0026183603726875,99.73884775342492
1.5e14,1.3,200.0,3.64029556237696e10,4.0128620132487466e32,1.9858922373970656,100.71039920179282
1.5e14,1.3,400.0,2.8636463729210915e10,3.876169212854159e32,3.9405419804168327,101.5088792323151
1.5e14,1.3,800.0,2.251591939256666e10,3.7441326642297015e32,7.830573378304163,102.16365537375921
2.51e14,1.3,10.0,1.3168028313984561e11,1.0089724854919034e33,0.10549416983322955,94.7919682747255
2.51e14,1.3,25.0,9.633286054019218e10,9.637899440278036e32,0.2573774013613512,97.1336250493129
2.51e14,1.3,50.0,7.594934212386963e10,9.309597591244657e32,0.5073062941249441,98.55978642300373
2.51e14,1.3,100.0,5.982533681770234e10,8.99247867575911e32,1.0026176605400516,99.73891737168866
2.51e14,1.3,200.0,4.708990886113243e10,8.686161901578634e32,1.9858926156166008,100.71038002117848
2.51e14,1.3,400.0,3.704338454683142e10,8.390279364106631e32,3.940540831199209,101.50890883632073
2.51e14,1.3,800.0,2.912600093146087e10,8.104475657303327e32,7.8305764807527805,102.16361489685536
4.22e14,1.3,10.0,1.4573623297320667e11,2.1988208207298404e33,0.16958936444710923,58.96596188447157
4.22e14,1.3,25.0,1.2490906622132048e11,2.1010698215771745e33,0.25737715169977365,97.1337192710956
4.22e14,1.3,50.0,9.847895388877725e10,2.0294997547115682e33,0.507306134701683,98.55981739586507
4.22e14,1.3,100.0,7.757190955235321e10,1.960367576345315e33,1.0026179009574754,99.73889345532577
4.22e14,1.3,200.0,6.105866144662207e10,1.8935902734632058e33,1.9858917288522593,100.7104249915928
4.22e14,1.3,400.0,4.803192425579901e10,1.8290876425666314e33,3.9405418953003877,101.50888142492595
4.22e14,1.3,800.0,3.776593702722794e10,1.7667822048538982e33,7.830574272086536,102.16364371279144
7.08e14,1.3,10.0,1.4573623297320667e11,4.730005390423275e33,0.3648130854641574,27.411297451890583
7.08e14,1.3,25.0,1.4573623297320667e11,4.565542912421352e33,0.35212851978386467,70.9968054145257
7.08e14,1.3,50.0,1.2755688364832857e11,4.4103211322949054e33,0.5073058877051865,98.55986538255354
7.08e14,1.3,100.0,1.004765789737729e11,4.260089477196282e33,1.002618219417472,99.73886177542303
7.08e14,1.3,200.0,7.908747722849866e10,4.1149752196685965e33,1.9858911832178028,100.7104526623325
7.08e14,1.3,400.0,6.2214315716448006e10,3.974804068885433e33,3.9405435367279384,101.50883914155233
7.08e14,1.3,800.0,4.8917100527843185e10,3.839407655082991e33,7.830572156568135,102.16367131346529
1.19e15,1.3,10.0,1.4573623297320667e11,9.819928893406112e33,0.7573857243155341,13.203311970313695
1.19e15,1.3,25.0,1.4573623297320667e11,9.890435126763927e33,0.7628236877875838,32.77297283794039
1.19e15,1.3,50.0,1.4573623297320667e11,9.609302082987556e33,0.7411406230423214,67.46358038607316
1.19e15,1.3,100.0,1.3026317887330884e11,9.283019794137462e33,1.0026183536423718,99.73884842294581
1.19e15,1.3,200.0,1.0253321320081e11,8.966806124858708e33,1.9858912751557343,100.71044799988657
1.19e15,1.3,400.0,8.065795267387196e10,8.661363815665036e33,3.940543167098223,101.50884866325573
1.19e15,1.3,800.0,6.341872791995159e10,8.366325977584066e33,7.830573911822733,102.16364841306797
2.0e15,1.3,10.0,1.4573623297320667e11,1.8947784004981452e34,1.4613935873225552,6.842783550406277
2.0e15,1.3,25.0,1.4573623297320667e11,2.078212251484517e34,1.6028713735686346,15.597009474528186
2.0e15,1.3,50.0,1.4573623297320667e11,2.0793001922392976e34,1.603710474142087,31.17769747481867
2.0e15,1.3,100.0,1.4573623297320667e11,2.0222589430574705e34,1.5597160335545888,64.11423480215194
2.0e15,1.3,200.0,1.329248188018213e11,1.9537200398332e34,1.9858913812553471,100.71044261926019
2.0e15,1.3,400.0,1.0456558656497282e11,1.8871691685224446e34,3.9405413525283626,101.50889540680717
2.0e15,1.3,800.0,8.221650344128287e10,1.8228852608810932e34,7.830576117665956,102.16361963396052
3.16e13,1.33,10.0,3.9308602599248024e10,4.670834862350772e31,0.18358749172624705,54.46994185699376
3.16e13,1.33,25.0,2.9046081552267994e10,4.649484818928821e31,0.45295344549018657,55.19331014900435
3.16e13,1.33,50.0,2.308619130270288e10,4.633398881003223e31,0.898988652430329,55.6180546493327
3.16e13,1.33,100.0,1.833970260555206e10,4.617368561684221e31,1.7870185700543386,55.95912749634116
3.16e13,1.33,200.0,1.4563056975586485e10,4.601393689228986e31,3.556666442670119,56.23243090792982
3.16e13,1.33,400.0,1.1560306551380346e10,4.585474080105767e31,7.085778651844587,56.45110010540211
3.16e13,1.33,800.0,9.1742764507357e9,4.569609546439706e31,14.127815532282652,56.625880920653756
5.31e13,1.33,10.0,5.0955524459812035e10,1.0174326510935337e32,0.18358755317397493,54.46992362561529
5.31e13,1.33,25.0,3.765227362324932e10,1.0127820411022536e32,0.4529536505156177,55.193285166244635
5.31e13,1.33,50.0,2.992651423619529e10,1.00927809396021e32,0.8989878765246465,55.61810265261036
5.31e13,1.33,100.0,2.377365791352745e10,1.0057862620362864e32,1.7870185569255606,55.959127907458864
5.31e13,1.33,200.0,1.887800867283724e10,1.002306507921207e32,3.5566685697874254,56.23239727730762
5.31e13,1.33,400.0,1.4985562163055779e10,9.988387916367036e31,7.085780137490002,56.4510882695398
5.31e13,1.33,800.0,1.1892565359652308e10,9.953830722585151e31,14.127815045826667,56.62588287042438
8.91e13,1.33,10.0,6.60059230607614e10,2.211466908666867e32,0.18358750063408708,54.46993921406041
8.91e13,1.33,25.0,4.877337792541469e10,2.2013584556985415e32,0.45295353399461735,55.193299364559294
8.91e13,1.33,50.0,3.876570792280813e10,2.1937423612608164e32,0.8989879167363387,55.61810016481494
8.91e13,1.33,100.0,3.0795517600054333e10,2.1861526001672352e32,1.7870197017581353,55.95909205791987
8.91e13,1.33,200.0,2.4453880644997665e10,2.1785890911062352e32,3.5566681912022187,56.23240326289655
8.91e13,1.33,400.0,1.9411749163080402e10,2.171051747181276e32,7.085778192811716,56.451103762433114
8.91e13,1.33,800.0,1.5405194620176086e10,2.1635404794405702e32,14.12781007655495,56.62590278783526
1.5e14,1.33,10.0,8.564256865434525e10,4.830596670721868e32,0.18358750297711587,54.4699385188898
1.5e14,1.33,25.0,6.328338807043083e10,4.8085163677975885e32,0.45295318956921793,55.19334133351904
1.5e14,1.33,50.0,5.029842774229152e10,4.791880224477025e32,0.8989884567004087,55.61806675862879
1.5e14,1.33,100.0,3.995712914439336e10,4.775301602149725e32,1.787019802366589,55.95908890744682
1.5e14,1.33,200.0,3.172887092005729e10,4.758780323198834e32,3.5566669081267164,56.23242354886116
1.5e14,1.33,400.0,2.5186712475711674e10,4.742316197813363e32,7.085776423751768,56.4511178562149
1.5e14,1.33,800.0,1.998821131593315e10,4.725909031692602e32,14.127813458097439,56.62588923422367
2.51e14,1.33,10.0,1.1078502609500433e11,1.0456214199401203e33,0.18358731449791107,54.469994440241045
2.51e14,1.33,25.0,8.186172454233784e10,1.0408419611531129e33,0.4529533902257175,55.19331688309453
2.51e14,1.33,50.0,6.506472815526899e10,1.0372409344093019e33,0.8989885898091078,55.618058523542615
2.51e14,1.33,100.0,5.16875059878026e10,1.0336523585460168e33,1.7870189545353827,55.95911545661225
2.51e14,1.33,200.0,4.104363988089757e10,1.0300761951165713e33,3.556666433385715,56.23243105472025
2.51e14,1.33,400.0,3.2580868229232635e10,1.0265124030351237e33,7.0857794698497525,56.45109358850561
2.51e14,1.33,800.0,2.5856226158152645e10,1.0229609402437409e33,14.127815956552995,56.62587922013034
4.22e14,1.33,10.0,1.4364825096691122e11,2.2794630965392812e33,0.18358742431488465,54.46996185778087
4.22e14,1.33,25.0,1.06145151931184e11,2.2690438379841614e33,0.45295367562510136,55.19328210660528
4.22e14,1.33,50.0,8.43655151363052e10,2.2611935707509055e33,0.8989887245198711,55.6180501893434
4.22e14,1.33,100.0,6.702008835577348e10,2.25337044653663e33,1.787018286679871,55.95913636999852
4.22e14,1.33,200.0,5.321880821326315e10,2.2455743815274486e33,3.556668607139366,56.23239668675804
4.22e14,1.33,400.0,4.224565065721983e10,2.2378052861566143e33,7.085780191299334,56.451087840850896
4.22e14,1.33,800.0,3.3526215167872017e10,2.2300630687370807e33,14.127813475344968,56.6258891650936
7.08e14,1.33,10.0,1.4573623297320667e11,4.9377540691423414e33,0.38083620388132744,26.25800776838986
7.08e14,1.33,25.0,1.3748666834251547e11,4.930876175536633e33,0.4529536079130017,55.193290357456924
7.08e14,1.33,50.0,1.0927618205120593e11,4.913816700958603e33,0.8989878118595808,55.61810665327446
7.08e14,1.33,100.0,8.68091261144318e10,4.8968162110763747e33,1.7870184731361898,55.95913053125945
7.08e14,1.33,200.0,6.89327409316858e10,4.879874523757262e33,3.556668622558333,56.23239644297781
7.08e14,1.33,400.0,5.471954200722952e10,4.8629914443614666e33,7.085777890837129,56.45110616820973
7.08e14,1.33,800.0,4.342551431793955e10,4.8461667736429554e33,14.12780962182158,56.62590461045945
1.19e15,1.33,10.0,1.4573623297320667e11,1.0383337222131465e34,0.8008399519142275,12.486889516559772
1.19e15,1.33,25.0,1.4573623297320667e11,1.0728574339445835e34,0.8274671980985995,30.2126779858421
1.19e15,1.33,50.0,1.416714561166642e11,1.0707535121957897e34,0.898987856480752,55.61810389267537
1.19e15,1.33,100.0,1.1254394394481392e11,1.0670489917875372e34,1.7870197795972917,55.95908962044907
1.19e15,1.33,200.0,8.936807994961162e10,1.0633572848512266e34,3.556667933505445,56.232407337190004
1.19e15,1.33,400.0,7.094133119596237e10,1.0596783489730838e34,7.085776519061724,56.45111709689748
1.19e15,1.33,800.0,5.629914415214985e10,1.0560121407362412e34,14.127812529941592,56.62589295437851
2.0e15,1.33,10.0,1.4573623297320667e11,2.0199542209147952e34,1.5579384609587748,6.418738769595479
2.0e15,1.33,25.0,1.4573623297320667e11,2.2769736356930123e34,1.7561708898673658,14.235516682484196
2.0e15,1.33,50.0,1.4573623297320667e11,2.3274793556751613e34,1.7951246457712842,27.853219060739512
2.0e15,1.33,100.0,1.4590281457275928e11,2.324924805678299e34,1.7870195034214227,55.95909826867601
2.0e15,1.33,200.0,1.1585744767892284e11,2.316881181535755e34,3.5566676296964053,56.23241214053838
2.0e15,1.33,400.0,9.196887158239426e10,2.308865383435168e34,7.085776169478955,56.451119881961155
2.0e15,1.33,800.0,7.298662670105443e10,2.300877316778227e34,14.12781429724413,56.62588587082813
3.16e13,1.4,10.0,3.0702204260878777e10,5.239713973576624e31,0.43222541587900853,23.136075835945906
3.16e13,1.4,25.0,2.3350867232266514e10,5.742507665203732e31,1.0767228523984707,23.218602581259294
3.16e13,1.4,50.0,1.897912486262963e10,6.154667332175672e31,2.1492524248388247,23.26390303072454
3.16e13,1.4,100.0,1.542343700665074e10,6.596409120697487e31,4.29215584116264,23.298315275736226
3.16e13,1.4,200.0,1.2532404896024488e10,7.069856244932142e31,8.574695786695841,23.32444263624047
3.16e13,1.4,400.0,1.0182358972223633e10,7.577284307822665e31,17.134828510071202,23.34426631494416
3.16e13,1.4,800.0,8.272421446705551e9,8.12113223947744e31,34.24759013886564,23.359307815708924
5.31e13,1.4,10.0,3.979910396855367e10,1.1413497235976819e32,0.43222536036571607,23.136078807450733
5.31e13,1.4,25.0,3.026960119633872e10,1.250871625714807e32,1.076723110018161,23.218597025913496
5.31e13,1.4,50.0,2.460253858790873e10,1.3406510152678933e32,2.149252136649936,23.263906150134424
5.31e13,1.4,100.0,1.9993318558157352e10,1.4368741814169394e32,4.292155767218915,23.29831567711127
5.31e13,1.4,200.0,1.6245688942048717e10,1.5400036169427231e32,8.574695983823569,23.324442100023866
5.31e13,1.4,400.0,1.3199337423192808e10,1.650535008965312e32,17.134827540455486,23.34426763593601
5.31e13,1.4,800.0,1.0723495227315296e10,1.76899962164319e32,34.24759209667271,23.359306480344443
8.91e13,1.4,10.0,5.155429282647683e10,2.480810048946346e32,0.43222551570674334,23.13607049238807
8.91e13,1.4,25.0,3.921013041286103e10,2.7188641963546163e32,1.0767231386740925,23.21859640797328
8.91e13,1.4,50.0,3.1869225162896614e10,2.9140064977678306e32,2.1492522633700792,23.26390477849203
8.91e13,1.4,100.0,2.5898611983971348e10,3.1231548355486457e32,4.292155417540883,23.29831757520404
8.91e13,1.4,200.0,2.1044068997901802e10,3.3473144727887665e32,8.574696452290828,23.324440825723656
8.91e13,1.4,400.0,1.709793760160179e10,3.5875628229614936e32,17.134826928421933,23.344268469762643
8.91e13,1.4,800.0,1.3890822238813293e10,3.845054628928079e32,34.2475922473682,23.359306377559342
1.5e14,1.4,10.0,6.689160463534715e10,5.418933792843249e32,0.43222550766831375,23.136070922667333
1.5e14,1.4,25.0,5.087507679679136e10,5.9389251015332766e32,1.0767230380179473,23.21859857853556
1.5e14,1.4,50.0,4.1350261822400375e10,6.365182328268852e32,2.149252535502522,23.263901832880414
1.5e14,1.4,100.0,3.3603403905820866e10,6.822033507088075e32,4.2921552523060065,23.298318472118158
1.5e14,1.4,200.0,2.730464274108769e10,7.311674474841765e32,8.574696218422378,23.3244414618804
1.5e14,1.4,400.0,2.2184543389239414e10,7.836458669423407e32,17.134828228460247,23.34426669860725
1.5e14,1.4,800.0,1.802331776982951e10,8.398908442402442e32,34.247590200528705,23.3593077736503
2.51e14,1.4,10.0,8.652923130596094e10,1.1729717120391175e33,0.4322255070238017,23.13607095716663
2.51e14,1.4,25.0,6.581066850927979e10,1.2855280042749641e33,1.0767230871495443,23.218597519055326
2.51e14,1.4,50.0,5.348961823877112e10,1.377794802164794e33,2.1492524862963327,23.263902365497202
2.51e14,1.4,100.0,4.3468482811550896e10,1.476683906526961e33,4.292155878770883,23.29831507159436
2.51e14,1.4,200.0,3.5320572573836914e10,1.5826706238680128e33,8.574695893876525,23.32444234469314
2.51e14,1.4,400.0,2.8697345284800957e10,1.6962643747221066e33,17.134828510014817,23.344266315020977
2.51e14,1.4,800.0,2.3314492703659576e10,1.8180111423256046e33,34.24759041284256,23.359307628837055
4.22e14,1.4,10.0,1.1219725735303465e11,2.5570877565064669e33,0.43222541619648186,23.13607581895226
4.22e14,1.4,25.0,8.53327356745679e10,2.802461377917765e33,1.0767230744417238,23.21859779308843
4.22e14,1.4,50.0,6.935677220156477e10,3.003603738645437e33,2.14925233418499,23.26390401197834
4.22e14,1.4,100.0,5.636296688077381e10,3.219182780684836e33,4.292155912632431,23.29831488778999
4.22e14,1.4,200.0,4.57980626372647e10,3.45023467604514e33,8.574695491686699,23.324443438709064
4.22e14,1.4,400.0,3.721012193455309e10,3.6978699655738753e33,17.134827886436796,23.34426716457555
4.22e14,1.4,800.0,3.023049983923255e10,3.963278897119744e33,34.247592047471365,23.35930651390328
7.08e14,1.4,10.0,1.4532578010935718e11,5.556826574370507e33,0.4322253601079146,23.136078821250283
7.08e14,1.4,25.0,1.1052895568746735e11,6.090049830640652e33,1.0767231156291532,23.218596904917327
7.08e14,1.4,50.0,8.983576913015356e10,6.527153802703581e33,2.1492521304124996,23.263906217649602
7.08e14,1.4,100.0,7.300527826469661e10,6.99563023517952e33,4.2921555720042734,23.298316736758867
7.08e14,1.4,200.0,5.932086861855988e10,7.497730841233209e33,8.574695992459274,23.32444207653347
7.08e14,1.4,400.0,4.819716607554027e10,8.035868945456389e33,17.134827110124952,23.344268222212783
7.08e14,1.4,800.0,3.915666815757913e10,8.61263108437979e33,34.247592230736224,23.359306388903544
1.19e15,1.4,10.0,1.4573623297320667e11,1.1943862384668055e34,0.9211992226757528,10.85541515216827
1.19e15,1.4,25.0,1.4329562101745782e11,1.3270625752787627e34,1.0767231125226253,23.218596971906898
1.19e15,1.4,50.0,1.1646786600576117e11,1.4223104531997077e34,2.1492524879982664,23.263902347075163
1.19e15,1.4,100.0,9.464793035634412e10,1.5243945999976865e34,4.292155296470208,23.298318232389732
1.19e15,1.4,200.0,7.690672990583875e10,1.6338056790320381e34,8.574696470537125,23.324440776091034
1.19e15,1.4,400.0,6.248537151334627e10,1.751069569856047e34,17.13482694873522,23.34426844208808
1.19e15,1.4,800.0,5.0764789219382774e10,1.8767498960776585e34,34.247591079078504,23.35930717441647
2.0e15,1.4,10.0,1.4573623297320667e11,2.3581822279100494e34,1.818804977246803,5.498115589686474
2.0e15,1.4,25.0,1.4573623297320667e11,2.85892942226248e34,2.20501834051082,11.337774176612264
2.0e15,1.4,50.0,1.4573623297320667e11,3.098917253331785e34,2.390114749287659,20.91949769980785
2.0e15,1.4,100.0,1.2270228196258232e11,3.321405902121779e34,4.292155275942816,23.298318343814802
2.0e15,1.4,200.0,9.970245906348499e10,3.5597947048908945e34,8.574696036761194,23.32444195602569
2.0e15,1.4,400.0,8.10064985038214e10,3.8152934970590417e34,17.134828510452028,23.34426631442533
2.0e15,1.4,800.0,6.581185117130757e10,4.089130322064773e34,34.24759049113429,23.359307575436492
3.16e13,1.5,10.0,2.600906042717272e10,6.474473930293822e31,0.8785002434959037,11.38303611642269
3.16e13,1.5,25.0,2.0688582956802418e10,8.141219963554259e31,2.1948691999147085,11.390200382315031
3.16e13,1.5,50.0,1.739879462303043e10,9.681596706503542e31,4.388346315150413,11.393813616618866
3.16e13,1.5,100.0,1.4631677834162594e10,1.1513423688394643e32,8.774724446087074,11.39636926656918
3.16e13,1.5,200.0,1.2304375998775347e10,1.3691845368455451e32,17.546665408002482,11.3981771094117
3.16e13,1.5,400.0,1.0347092502791647e10,1.6282439929778576e32,35.089394995193885,11.399455592060994
3.16e13,1.5,800.0,8.701063001569702e9,1.936319341417516e32,70.17322472806025,11.400359654272851
5.31e13,1.5,10.0,3.3715404659535515e10,1.4103134384864284e32,0.8785002820758595,11.383035616528678
5.31e13,1.5,25.0,2.681849868190363e10,1.7733752647560172e32,2.1948692343551177,11.390200203587682
5.31e13,1.5,50.0,2.255396395134076e10,2.108910482646565e32,4.388346283920434,11.393813697703752
5.31e13,1.5,100.0,1.8966965309803215e10,2.507931350962498e32,8.774724413312692,11.396369309135642
5.31e13,1.5,200.0,1.5950096383218998e10,2.9824498065431653e32,17.546665573547195,11.398177001875146
5.31e13,1.5,400.0,1.3412880362404493e10,3.546750530093172e32,35.08939500725072,11.399455588144102
5.31e13,1.5,800.0,1.1279141181768856e10,4.2178209655357924e32,70.17322458246412,11.400359677926435
8.91e13,1.5,10.0,4.367369794879184e10,3.065423049583606e32,0.8785002933815464,11.383035470036939
8.91e13,1.5,25.0,3.4739699126655396e10,3.854565420558011e32,2.194869246114879,11.390200142560795
8.91e13,1.5,50.0,2.921557712804176e10,4.583876623861949e32,4.388346392842726,11.39381341490012
